航班ID,航空公司中文,航空公司英文,航空公司韩文,航空公司法文,航班号,航班日期,出发城市代码,出发城市英文,出发城市中文,出发城市韩文,出发城市法文,到达城市,出发或到达,国内或国际,航班任务,航班状态英文,航班状态中文,航班状态韩文,航班状态法文,航站楼,登机口,计划起飞时间,预计起飞时间,计划到达时间
7741155,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU5312,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,A15,2024-07-10 16:30:00,2024-07-10 16:30:00,2024-07-10 19:10:00
7740677,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6790,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HAK,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B278,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 17:55:00
7741031,深圳航空,Shenzhen Airlines,Shenzhen Airlines,Shenzhen Airlines,ZH9867,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,NKG,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B225,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:05:00
7740568,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3307,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,LJG,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B258,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:20:00
7740829,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU2541,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUH,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,A124,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 18:25:00
7741143,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6241,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,XNN,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B274,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:40:00
7740910,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6091,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,VTE,D,I,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,A153,2024-07-10 16:35:00,2024-07-10 16:35:00,2024-07-10 19:10:00
7741025,厦门航空,Xiamen Air,Xiamen Air,Xiamen Air,MF8388,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHE,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B252,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 18:00:00
7740783,春秋航空,Spring Airlines,Spring Airlines,Spring Airlines,9C8856,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B230,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 18:50:00
7740560,深圳航空,Shenzhen Airlines,Shenzhen Airlines,Shenzhen Airlines,ZH9657,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHE,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B233,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 22:30:00
7717559,,,,,MF8388,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,XMN,D,D,W/Z,Plan,计划,계획,Plan,T2,B252,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 18:00:00
7741115,中国国际航空,China Airline,China Airline,China Airline,CA1340,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PEK,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B206,2024-07-10 16:40:00,2024-07-10 16:40:00,2024-07-10 19:55:00
7740631,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ6348,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,SHE,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B275,2024-07-10 16:45:00,2024-07-10 16:45:00,2024-07-10 20:40:00
7740723,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ395,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PEN,D,I,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,A147,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 21:00:00
7740749,中国国际航空,China Airline,China Airline,China Airline,CA8232,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUH,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B213,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 18:35:00
7741080,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3995,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HIA,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B50,2024-07-10 16:50:00,2024-07-10 16:50:00,2024-07-10 19:25:00
7740718,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ8281,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,HSN,D,D,W/Z,Delayed,延误,연착,Retard,T2,B262,2024-07-10 16:55:00,2024-07-10 16:55:00,2024-07-10 19:15:00
7741018,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3921,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,YCU,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B267,2024-07-10 16:55:00,2024-07-10 16:55:00,2024-07-10 19:20:00
7740525,中国东方航空,China Eastern Airlines,China Eastern Airlines,China Eastern Airlines,MU2918,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUX,D,D,W/Z,Delayed,延误,연착,Retard,T1,A125,2024-07-10 16:55:00,2024-07-10 16:55:00,2024-07-10 19:20:00
7740704,中国国际航空,China Airline,China Airline,China Airline,CA8677,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PKX,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T1,B210,2024-07-10 17:00:00,2024-07-10 17:00:00,2024-07-10 20:25:00
7740781,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3113,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,PKX,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B167,2024-07-10 17:00:00,2024-07-10 17:00:00,2024-07-10 20:05:00
7741081,中国南方航空,China Southern Airline,China Southern Airline,China Southern Airline,CZ3346,2024-07-10,CAN,Guangzhou,广州,Guangzhou,Guangzhou,WUH,D,D,W/Z,Check-in,正在值机,탑승 중,Enregistrement en cours,T2,B157,2024-07-10 17:00:00,2024-07-10 17:00:00,2024-07-10 19:00:00
航班ID,航空公司中文,航空公司英文,航空公司韩文,航空公司法文,航班号,航班日期,出发城市代码,出发城市英文,出发城市中文,出发城市韩文,出发城市法文,到达城市,出发或到达,国内或国际,航班任务,航班状态英文,航班状态中文,航班状态韩文,航班状态法文,航站楼,登机口,计划起飞时间,预计起飞时间,计划到达时间
