date,city,country,weather,max_temperature,min_temperature,Wind,Wind_level
2023/12/31,庆云,中国,晴,3.0,-8.0,无持续风向,微风
2023/12/31,昆山,中国,晴,9.0,2.0,北风,微风
2023/12/31,榆树,中国,晴,-14.0,-24.0,北风,微风
2023/12/31,洱源,中国,雨夹雪,16.0,-1.0,无持续风向,微风
2023/12/31,石林,中国,晴,20.0,5.0,无持续风向,微风
2023/12/31,长泰,中国,晴,26.0,13.0,无持续风向,微风
2023/12/31,万山,中国,小雨,10.0,6.0,东北风,微风
2023/12/31,巨鹿,中国,晴,5.0,-6.0,北风,微风
2023/12/31,玉环,中国,晴,15.0,5.0,东北风,4~5级
2023/12/31,中牟县,中国,晴,9.0,-4.0,东北风,微风
2023/12/31,梨树,中国,晴,-10.0,-17.0,北风,微风
