Top,Name,Processor,CPU,GPU,MEM,UX,Score
118,荣耀50,S-778G 8/256,201230 分,140394 分,125829 分,129420 分,596871 分
119,华为nova 11,S-778G 4G 8/256,196594 分,137848 分,123305 分,135390 分,593136 分
120,Redmi Note 13 Pro,S-7s Gen 2 12/256,201823 分,116569 分,125177 分,147236 分,590805 分
Top,Name,Processor,CPU,GPU,MEM,UX,Score
1,vivo X100s,M-9300+ 16/1024,490161 分,843920 分,438116 分,333424 分,2105621 分
2,OPPO Find X7,M-9300 16/1024,498859 分,791862 分,452002 分,351805 分,2094528 分
3,红魔9 Pro+,S-8 Gen 3 16/512,457185 分,900305 分,381510 分,341986 分,2080986 分
4,iQOO 12,S-8 Gen 3 16/1024,445729 分,881563 分,422383 分,330244 分,2079919 分
5,vivo X100 Pro,M-9300 16/1024,490274 分,813878 分,416383 分,325182 分,2045717 分
6,iQOO Neo9S Pro,M-9300+ 16/512,486728 分,833098 分,389517 分,334041 分,2043384 分
7,vivo X100s Pro,M-9300+ 16/1024,492531 分,810370 分,399035 分,341282 分,2043218 分
8,vivo Pad3 Pro,M-9300 16/512,497310 分,801077 分,390166 分,353294 分,2041847 分
9,vivo X Fold3 Pro,S-8 Gen 3 16/512,442002 分,857596 分,403162 分,330294 分,2033054 分
10,iQOO 12 Pro,S-8 Gen 3 16/1024,436327 分,836633 分,423356 分,328593 分,2024909 分
11,vivo X100 Ultra,S-8 Gen 3 16/512,434678 分,852910 分,396149 分,341050 分,2024787 分
12,OPPO Find X7 Ultra,S-8 Gen 3 16/512,434934 分,840477 分,401961 分,343485 分,2020857 分
13,vivo X100,M-9300 16/512,487804 分,830074 分,379073 分,322097 分,2019048 分
14,一加手机12,S-8 Gen 3 16/512,436646 分,826362 分,411452 分,344078 分,2018538 分
15,努比亚Z60 Ultra,S-8 Gen 3 16/512,424136 分,878082 分,358044 分,327377 分,1987639 分
16,小米14 Ultra Ti,S-8 Gen 3 16/1024,439821 分,830366 分,391966 分,320359 分,1982512 分
17,Redmi K70 Pro,S-8 Gen 3 24/1024,430727 分,800102 分,426914 分,323017 分,1980760 分
18,小米14,S-8 Gen 3 16/512,434200 分,802778 分,409965 分,319583 分,1966526 分
19,小米14 Pro,S-8 Gen 3 16/512,424277 分,803437 分,412078 分,319615 分,1959407 分
20,realme GT5 Pro,S-8 Gen 3 16/512,434232 分,780318 分,394548 分,336126 分,1945224 分
21,荣耀Magic6 Pro,S-8 Gen 3 16/512,424733 分,790231 分,391402 分,301822 分,1908188 分
22,魅族21,S-8 Gen 3 12/512,420220 分,773478 分,390328 分,320249 分,1904275 分
23,魅族21 Pro,S-8 Gen 3 16/512,413668 分,750235 分,392092 分,323951 分,1879946 分
24,荣耀Magic6 至臻版,S-8 Gen 3 16/512,424145 分,758956 分,390952 分,300277 分,1874330 分
25,荣耀Magic6,S-8 Gen 3 16/512,435016 分,701609 分,366321 分,301622 分,1804568 分
26,三星Galaxy S24 Ultra,S-8 Gen 3 OC 12/512,440384 分,659086 分,369506 分,301061 分,1770037 分
27,三星Galaxy S24+,S-8 Gen 3 OC 12/256,432858 分,661717 分,363975 分,299943 分,1758493 分
28,iQOO Neo9,S-8 Gen 2 16/1024,401967 分,597038 分,338641 分,292686 分,1630332 分
29,vivo X90 Pro+,S-8 Gen 2 12/512,402498 分,590551 分,324355 分,296011 分,1613415 分
30,OPPO Find X6 Pro,S-8 Gen 2 16/512,395108 分,592890 分,311176 分,308162 分,1607336 分
31,一加Ace 3,S-8 Gen 2 16/512,383906 分,591733 分,319933 分,310147 分,1605719 分
32,iQOO 11S,S-8 Gen 2 16/512,398655 分,583716 分,325925 分,293113 分,1601409 分
33,iQOO 11 Pro,S-8 Gen 2 16/512,401636 分,577344 分,325892 分,294992 分,1599864 分
34,一加Ace 2 Pro,S-8 Gen 2 24/1024,377039 分,593527 分,323823 分,305247 分,1599636 分
35,iQOO 11,S-8 Gen 2 16/512,394011 分,590403 分,312516 分,294015 分,1590945 分
