职位名称,薪资,工作经验,学历要求,工作地点,公司名称
电脑技术人员,3-4K,1-3年,中专/中技,成都·郫都区·郫筒,大航天耗材批发
高薪+双休+大客户代表,12-20K,3-5年,学历不限,成都·金牛区·西南交大,腾信金瑞科技
弱电工程师,5-7K,1-3年,大专,成都·武侯区·磨子桥,红点
开发工程师,200-250元/天,4天/周,2个月,成都·武侯区·新会展中心,蚂蚁集团
高级运维工程师,10-19K,5-10年,本科,成都·武侯区·新会展中心,数字天空
办公伙伴招聘电脑维修,3-5K,1-3年,学历不限,成都·都江堰市·幸福,办公伙伴
软件开发工程师,12-24K,1-3年,本科,成都·郫都区·高新西,华为成都研究所
系统工程师,5-8K·13薪,1-3年,大专,成都·武侯区·跳伞塔,安里致远
爬虫逆向工程师,10-15K,5-10年,本科,成都·武侯区·科华北路,诺易优科技
IT运维工程师,3-6K,经验不限,高中,成都·武侯区·望江路,网维特电子科技
运维工程师,6-8K,1-3年,本科,成都·锦江区·柳江,智慧蜀通
华为3G/4G/5G网络优化后台工程师实习工程师,4-6K,经验不限,学历不限,成都·双流区·华阳,天津万科移动通信
VPN高级嵌入式开发工程师 (MJ015782),15-26K·14薪,5-10年,本科,成都·武侯区·磨子桥,锐捷网络
解决方案经理,15-20K,3-5年,本科,成都·青羊区·黄田坝,网安科技
网络维护,5-6K,1-3年,大专,成都·武侯区·高升桥,武汉东方光建
中级网络工程师,6-8K,1-3年,大专,成都·成华区·猛追湾,华网慧业
最新诚聘互联网IT电子信息技术支持售后售前,3-8K·13薪,3-5年,初中及以下,成都·武侯区·科华北路,中鼎
网络工程师,4-6K,经验不限,大专,成都·武侯区·桐梓林,四川奕欣致奕
项目经理,6-10K,3-5年,本科,成都·武侯区·孵化园,成都唯赛徳
产品助理,5-8K·15薪,1-3年,本科,成都·武侯区·新会展中心,一知安全
系统架构师（安全方向）,15-30K,10年以上,本科,成都·武侯区·新会展中心,迈普通信
售前产品专家,10-15K·13薪,5-10年,本科,成都·武侯区·新会展中心,尺物科技
运维工程师,10-15K,3-5年,本科,成都·武侯区·紫荆,成都安思迪莱科技
数据仓库,3-4K,1年以内,本科,成都·武侯区·省体育馆,衡生汇通
web-成都,10-11K,1-3年,本科,成都·龙泉驿区·大面,浙江大华
运维总监,50-80K,3-5年,本科,成都·青羊区·金沙,玖人商超
安全技术研究员（网安方向，高级）(J10586),15-25K,5-10年,硕士,成都·武侯区·中和,电科网安
信息安全讲师,10-15K,1-3年,本科,成都·武侯区·银泰城,知了堂
信息安全技术支持,2-6K·14薪,经验不限,本科,成都·武侯区·浆洗街,力桥
信息安全咨询顾问,12-16K·13薪,3-5年,本科,成都·武侯区·桂溪,普华永道
信息安全服务工程师,8-10K,1-3年,本科,成都·武侯区·跳伞塔,奥诚科技
信息安全工程师,7-12K,3-5年,本科,成都·成华区·猛追湾,代瑞克能源技术
